"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.126203277056165,58,""The air bites shrewdly";" it is very cold."",""So please you, something touching the Lord Hamlet.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.413855710330019,183,""You are welcome, masters";" welcome all.-I am gladto see thee well.-Welcome, good friends.-O myold friend!"",""My lord, he hath importuned me with love In honorable fashion-""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.409525812244248,184,""Why, thy face is valanced since I saw theelast."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.443076680869368,185,""Com'st thou to beard me in Denmark?-What,my young lady and mistress!"",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.39863883413116,186,""By 'r Lady, your Ladyshipis nearer to heaven than when I saw you last, bythe altitude of a chopine."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.279965280894569,187,""Pray God your voice, like apiece of uncurrent gold, be not cracked within thering."",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.305050906983764,188,""Masters, you are all welcome."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.237927215794038,189,""We'll e'en to 'tlike French falconers, fly at anything we see."",""O, my lord, my lord, I have been so affrighted!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.269169685879561,190,""Come, give us a taste of yourquality."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.36517228262587,191,""The rugged Pyrrhus, like th' Hyrcanian beast- The rugged Pyrrhus, he whose sable arms, Black as his purpose, did the night resemble When he lay couchèd in th' ominous horse, Hath now this dread and black complexion smeared With heraldry more dismal."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.597110515194998,192,""Head to foot, Now is he total gules, horridly tricked With blood of fathers, mothers, daughters, sons, Baked and impasted with the parching streets, That lend a tyrannous and a damnèd light To their lord's murder."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.416912725561006,193,""Roasted in wrath and fire, And thus o'ersizèd with coagulate gore, With eyes like carbuncles, the hellish Pyrrhus Old grandsire Priam seeks."",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.380085442961106,194,""I heard thee speak me a speech once, but itwas never acted, or, if it was, not above once";" forthe play, I remember, pleased not the million:'twas caviary to the general."",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.431720525242526,195,""But it was (as Ireceived it, and others whose judgments in suchmatters cried in the top of mine) an excellent play,well digested in the scenes, set down with as muchmodesty as cunning."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.408353093941289,196,""I remember one said therewere no sallets in the lines to make the mattersavory, nor no matter in the phrase that might indictthe author of affection, but called it an honestmethod, as wholesome as sweet and, by very much,more handsome than fine."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.311236511394491,197,""One speech in 't Ichiefly loved."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.333490672104153,198,""'Twas Aeneas' tale to Dido, andthereabout of it especially when he speaks ofPriam's slaughter."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.452141865830875,199,""If it live in your memory, begin atthis line-let me see, let me see: 'tis not so";" it begins with Pyrrhus: So, proceed you."",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.37980927131873,200,""It shall to the barber's with your beard.-Prithee say on."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.327494200501887,201,""He's for a jig or a tale of bawdry, orhe sleeps."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.261275702204829,202,""Say on";" come to Hecuba."",""I shall obey, my lord.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.430435926246186,203,""I'll have thee speak out the rest ofthis soon.-Good my lord, will you see the playerswell bestowed?"",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.282070361948268,204,""Do you hear, let them be well used,for they are the abstract and brief chronicles of thetime."",""I shall the effect of this good lesson keep As watchman to my heart.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.295876360322967,205,""After your death you were better have a badepitaph than their ill report while you live."",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.322366176142854,206,""God's bodykins, man, much better!"",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.343480579608148,207,""Use everyman after his desert and who shall 'scapewhipping?"",""I shall the effect of this good lesson keep As watchman to my heart.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.266161629145798,208,""Use them after your own honor anddignity."",""I shall the effect of this good lesson keep As watchman to my heart.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.202134239634762,209,""The less they deserve, the more merit is inyour bounty."",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.300489384189533,210,""Dost thou hear me, old friend?"",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.294012619979517,211,""Canyou play ""The Murder of Gonzago""?"",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.157140064683382,212,""We'll ha 't tomorrow night."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.266065988694949,213,""You could, for aneed, study a speech of some dozen or sixteenlines, which I would set down and insert in 't,could you not?"",""I shall the effect of this good lesson keep As watchman to my heart.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.53950912805547,214,""Follow that lord-and look youmock him not."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.258031645974785,215,""My good friends,I'll leave you till night."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.31028161941244,216,""You are welcome to Elsinore."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.276635854304577,217,""Ay, so, good-bye to you."",""O, my lord, my lord, I have been so affrighted!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.396727556842172,218,""O, what a rogue and peasant slave am I!"",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.460005517839914,219,""Is it not monstrous that this player here, But in a fiction, in a dream of passion, Could force his soul so to his own conceit That from her working all his visage wanned, Tears in his eyes, distraction in his aspect, A broken voice, and his whole function suiting With forms to his conceit-and all for nothing!"",""At last, a little shaking of mine arm, And thrice his head thus waving up and down, He raised a sigh so piteous and profound As it did seem to shatter all his bulk And end his being.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.378297488488223,220,""What's Hecuba to him, or he to Hecuba, That he should weep for her?"",""At last, a little shaking of mine arm, And thrice his head thus waving up and down, He raised a sigh so piteous and profound As it did seem to shatter all his bulk And end his being.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.363748855958599,221,""What would he do Had he the motive and the cue for passion That I have?"",""He took me by the wrist and held me hard.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.402446792349446,222,""He would drown the stage with tears And cleave the general ear with horrid speech, Make mad the guilty and appall the free, Confound the ignorant and amaze indeed The very faculties of eyes and ears."",""At last, a little shaking of mine arm, And thrice his head thus waving up and down, He raised a sigh so piteous and profound As it did seem to shatter all his bulk And end his being.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.456269554548295,223,""Yet I, A dull and muddy-mettled rascal, peak Like John-a-dreams, unpregnant of my cause, And can say nothing-no, not for a king Upon whose property and most dear life A damned defeat was made."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.344652172570563,224,""Plucks off my beard and blows it in my face?"",""Then goes he to the length of all his arm, And, with his other hand thus o'er his brow, He falls to such perusal of my face As he would draw it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.247478737248361,225,""Tweaks me by the nose?"",""Then goes he to the length of all his arm, And, with his other hand thus o'er his brow, He falls to such perusal of my face As he would draw it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.329878434226537,226,""gives me the lie i' th' throat As deep as to the lungs?"",""At last, a little shaking of mine arm, And thrice his head thus waving up and down, He raised a sigh so piteous and profound As it did seem to shatter all his bulk And end his being.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.313120352503596,227,""'Swounds, I should take it!"",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.320358929702192,228,""For it cannot be But I am pigeon-livered and lack gall To make oppression bitter, or ere this I should have fatted all the region kites With this slave's offal."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.382185530669188,229,""Remorseless, treacherous, lecherous, kindless villain!"",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.299082930089816,230,""Why, what an ass am I!"",""O, my lord, my lord, I have been so affrighted!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.557735672967927,231,""This is most brave, That I, the son of a dear father murdered, Prompted to my revenge by heaven and hell, Must, like a whore, unpack my heart with words And fall a-cursing like a very drab, A stallion!"",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.393311123144368,232,""About, my brains!-Hum, I have heard That guilty creatures sitting at a play Have, by the very cunning of the scene, Been struck so to the soul that presently They have proclaimed their malefactions";" For murder, though it have no tongue, will speak With most miraculous organ."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.289903929935902,233,""I'll have these players Play something like the murder of my father Before mine uncle."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.411211750137668,234,""I'll observe his looks";" I'll tent him to the quick."",""Then goes he to the length of all his arm, And, with his other hand thus o'er his brow, He falls to such perusal of my face As he would draw it.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.278921962115081,235,""If he do blench, I know my course."",""No, my good lord, but as you did command I did repel his letters and denied His access to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.474763240712603,236,""The spirit that I have seen May be a devil, and the devil hath power T' assume a pleasing shape";" yea, and perhaps, Out of my weakness and my melancholy, As he is very potent with such spirits, Abuses me to damn me."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.279790731736376,237,""I'll have grounds More relative than this."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.528059938011969,238,""The play's the thing Wherein I'll catch the conscience of the King."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.33487162963767,239,""To be or not to be-that is the question: Whether 'tis nobler in the mind to suffer The slings and arrows of outrageous fortune, Or to take arms against a sea of troubles And, by opposing, end them."",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.378845976227842,240,""To die, to sleep- No more-and by a sleep to say we end The heartache and the thousand natural shocks That flesh is heir to-'tis a consummation Devoutly to be wished."",""At last, a little shaking of mine arm, And thrice his head thus waving up and down, He raised a sigh so piteous and profound As it did seem to shatter all his bulk And end his being.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.272405249037327,241,""To die, to sleep- To sleep, perchance to dream."",""O, my lord, my lord, I have been so affrighted!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.323114358799487,242,""Ay, there's the rub, For in that sleep of death what dreams may come, When we have shuffled off this mortal coil, Must give us pause."",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.240789304341846,243,""There's the respect That makes calamity of so long life."",""My lord, I do not know, But truly I do fear it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.375027595983043,244,""For who would bear the whips and scorns of time, Th' oppressor's wrong, the proud man's contumely, The pangs of despised love, the law's delay, The insolence of office, and the spurns That patient merit of th' unworthy takes, When he himself might his quietus make With a bare bodkin?"",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.297567754262567,245,""Who would fardels bear, To grunt and sweat under a weary life, But that the dread of something after death, The undiscovered country from whose bourn No traveler returns, puzzles the will And makes us rather bear those ills we have Than fly to others that we know not of?"",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.413136085709897,246,""Thus conscience does make cowards of us all, And thus the native hue of resolution Is sicklied o'er with the pale cast of thought, And enterprises of great pitch and moment With this regard their currents turn awry And lose the name of action.-Soft you now, The fair Ophelia.-Nymph, in thy orisons Be all my sins remembered."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.379120603454708,247,""I humbly thank you, well."",""Good my lord, How does your Honor for this many a day?""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.271829762172239,248,""No, not I. I never gave you aught."",""No, my good lord, but as you did command I did repel his letters and denied His access to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.30707475122317,249,""Ha, ha, are you honest?"",""Good my lord, How does your Honor for this many a day?""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.294467742520927,250,""That if you be honest and fair, your honestyshould admit no discourse to your beauty."",""Their perfume lost, Take these again, for to the noble mind Rich gifts wax poor when givers prove unkind.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.78866261372337,251,""Ay, truly, for the power of beauty will soonertransform honesty from what it is to a bawd thanthe force of honesty can translate beauty into hislikeness."",""Could beauty, my lord, have better commercethan with honesty?""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.196193077264923,252,""This was sometime a paradox, but nowthe time gives it proof."",""Then goes he to the length of all his arm, And, with his other hand thus o'er his brow, He falls to such perusal of my face As he would draw it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.418443156039419,253,""I did love you once."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.324529127638818,254,""You should not have believed me, for virtuecannot so inoculate our old stock but we shallrelish of it."",""Their perfume lost, Take these again, for to the noble mind Rich gifts wax poor when givers prove unkind.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.39934925166001,255,""Get thee to a nunnery."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.40454195476783,256,""Why wouldst thou bea breeder of sinners?"",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.409577527160375,257,""I am myself indifferent honest,but yet I could accuse me of such things that itwere better my mother had not borne me: I amvery proud, revengeful, ambitious, with more offensesat my beck than I have thoughts to put themin, imagination to give them shape, or time to actthem in."",""Could beauty, my lord, have better commercethan with honesty?""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.378256069728195,258,""What should such fellows as I do crawlingbetween earth and heaven?"",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.300212772416006,259,""We are arrant knavesall";" believe none of us."",""O, my lord, my lord, I have been so affrighted!""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.305921279111878,260,""Go thy ways to a nunnery.Where's your father?"",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.337364530507123,261,""Let the doors be shut upon him that he mayplay the fool nowhere but in 's own house."",""That done, he lets me go, And, with his head over his shoulder turned, He seemed to find his way without his eyes, For out o' doors he went without their helps And to the last bended their light on me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.449887298813129,262,""If thou dost marry, I'll give thee this plaguefor thy dowry: be thou as chaste as ice, as pure assnow, thou shalt not escape calumny."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.432560021256582,263,""Get thee to anunnery, farewell."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.414940491509142,264,""Or if thou wilt needs marry,marry a fool, for wise men know well enough whatmonsters you make of them."",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.334128336233962,265,""To a nunnery, go, andquickly too."",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.371494959977055,266,""I have heard of your paintings too, wellenough."",""My honored lord, you know right well you did, And with them words of so sweet breath composed As made the things more rich.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.330546663177882,267,""God hath given you one face, and youmake yourselves another."",""Then goes he to the length of all his arm, And, with his other hand thus o'er his brow, He falls to such perusal of my face As he would draw it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.405479970221095,268,""You jig and amble, andyou lisp";" you nickname God's creatures and makeyour wantonness your ignorance."",""O, my lord, my lord, I have been so affrighted!""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.260747488626169,269,""Go to, I'll nomore on 't."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.354685349057166,270,""It hath made me mad."",""I was the more deceived.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.286908766528639,271,""I say we will haveno more marriage."",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.381057394271381,272,""Those that are married already,all but one, shall live."",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.352946474181498,273,""The rest shall keep as they are.To a nunnery, go."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.326337550212894,274,""Speak the speech, I pray you, as I pronouncedit to you, trippingly on the tongue";" but if you mouthit, as many of our players do, I had as lief thetown-crier spoke my lines."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.287589340662685,275,""Nor do not saw the airtoo much with your hand, thus, but use all gently";"for in the very torrent, tempest, and, as I may say,whirlwind of your passion, you must acquire andbeget a temperance that may give it smoothness."",""At last, a little shaking of mine arm, And thrice his head thus waving up and down, He raised a sigh so piteous and profound As it did seem to shatter all his bulk And end his being.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.359684791905265,276,""O,it offends me to the soul to hear a robustious,periwig-pated fellow tear a passion to tatters, to veryrags, to split the ears of the groundlings, who for themost part are capable of nothing but inexplicabledumb shows and noise."",""At last, a little shaking of mine arm, And thrice his head thus waving up and down, He raised a sigh so piteous and profound As it did seem to shatter all his bulk And end his being.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.379467021985703,277,""I would have such a fellowwhipped for o'erdoing Termagant."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.301470636103389,278,""Be not too tame neither, but let your owndiscretion be your tutor."",""I shall the effect of this good lesson keep As watchman to my heart.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.293649195537328,279,""Suit the action to theword, the word to the action, with this specialobservance, that you o'erstep not the modesty ofnature."",""The courtier's, soldier's, scholar's, eye, tongue, sword, Th' expectancy and rose of the fair state, The glass of fashion and the mold of form, Th' observed of all observers, quite, quite down!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.408285708001456,280,""For anything so o'erdone is from the purposeof playing, whose end, both at the first andnow, was and is to hold, as 'twere, the mirror up tonature, to show virtue her own feature, scorn herown image, and the very age and body of the timehis form and pressure."",""The courtier's, soldier's, scholar's, eye, tongue, sword, Th' expectancy and rose of the fair state, The glass of fashion and the mold of form, Th' observed of all observers, quite, quite down!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.381341169450299,281,""Now this overdone or cometardy off, though it makes the unskillful laugh,cannot but make the judicious grieve, the censureof the which one must in your allowance o'erweigha whole theater of others."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.368507225331585,282,""O, there be players that Ihave seen play and heard others praise (and thathighly), not to speak it profanely, that, neitherhaving th' accent of Christians nor the gait ofChristian, pagan, nor man, have so strutted andbellowed that I have thought some of nature'sjourneymen had made men, and not made themwell, they imitated humanity so abominably."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.344264854388883,283,""And let those that playyour clowns speak no more than is set down forthem, for there be of them that will themselveslaugh, to set on some quantity of barren spectatorsto laugh too, though in the meantime some necessaryquestion of the play be then to be considered.That's villainous and shows a most pitiful ambitionin the fool that uses it."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.444252748959513,284,""How now, my lord, will the King hear this piece ofwork?"",""O, my lord, my lord, I have been so affrighted!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.195891731033317,285,""Bid the players make haste."",""Their perfume lost, Take these again, for to the noble mind Rich gifts wax poor when givers prove unkind.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.354277070017067,286,""Will you two help to hasten them?"",""O, help him, you sweet heavens!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.491839780588391,287,""Horatio, thou art e'en as just a man As e'er my conversation coped withal."",""So please you, something touching the Lord Hamlet.""";;;;
